trial	index_traj	path	mean_side	mean_val	sd	last_visibl_side	f_missing_pos	last_visibl_center_dist[deg]	response	RT	fix_start_time	dot_mvt_start_time	last_dot_time	button_pressed_time	line_cross_time	early_response (t/f)	rest_time	end_time	start_exp_time	time_from_start [ces]
228	81	rdw	left	-1.773	5.602	right	31	12.73	1	631	0	307	1291	1922	1563	0	258	2926		728.68
229	39	rdw	left	-2.719	5.571	left	31	-10.583	-1	730	0	308	1298	2028	1570	0	258	3034		731.624
230	168	rdw	right	1.853	3.209	right	10	4.809	1	658	0	306	1478	2136	1576	0	83	3141		734.676
231	47	rdw	left	-2.158	6.978	left	49	-5.806	1	1055	0	309	1148	2203	1571	0	408	3208		737.834
232	94	rdw	left	-1.676	6.092	right	37	6.022	1	1180	0	308	1251	2431	1572	0	308	3436		741.059
233	154	rdw	right	2.051	2.291	right	5	3.295	1	210	0	307	1510	1720	1566	0	42	2725		744.513
234	43	rdw	left	-1.762	6.619	left	43	-11.962	-1	568	0	309	1196	1764	1566	0	358	2769		747.256
235	138	rdw	right	1.027	5.533	left	31	-3.742	-1	471	0	309	1291	1762	1563	0	258	2767		750.042
236	3	rdw	left	-1.229	2.32	left	5	-4.069	-1	229	0	306	1500	1729	1557	0	42	2734		752.826
237	105	rdw	right	1.076	2.085	left	4	-4.474	-1	564	0	306	1498	2062	1543	0	33	3067		755.567
238	53	rdw	left	-0.961	2.657	right	7	2.843	1	507	1	309	1508	2015	1580	0	58	3020		758.651
239	133	rdw	right	1.014	5.344	left	29	-3.279	-1	815	0	307	1315	2130	1572	0	242	3135		761.688
240	180	rdw	right	1.432	5.195	right	27	7.161	1	545	0	308	1320	1865	1559	0	225	2871		764.841
